Mô tả vấn đề,Loại vấn đề,Nguồn,Lời khuyên,Loài,Hướng dẫn chăm sóc
Đo chu vi đùi hai bên để định lượng teo cơ.,Vấn đề di chuyển,Ghi chú lâm sàng,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Cường giáp được chẩn đoán ở mèo già với sụt cân và nôn mửa.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chuột lang cào đến mức trầy da.,Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Chuột lang,"Giữ chuột lang ở khu vực mát mẻ, sạch sẽ; khuyến khích uống nước; liên hệ bác sĩ thú y nếu không cải thiện."
Thỏ bị gãy chân sau tai nạn.,Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Thỏ,"Giữ thỏ ấm áp, yên tĩnh; tránh cầm nắm quá nhiều; tham khảo ý kiến bác sĩ thú y chuyên về động vật ngoại lai ngay lập tức."
Mèo có vảy trên đầu tai.,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chó của tôi bị loạn sản xương hông.,Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
"Có hiện tượng myiasis; cạo lông, vệ sinh vết thương, loại bỏ ấu trùng bằng tay.",Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Thỏ xuất hiện nghiêng đầu, rung giật nhãn cầu, liệt chi sau. Khuyến nghị xét nghiệm huyết thanh cho E. cuniculi. Bắt đầu dùng fenbendazole theo kinh nghiệm.",Vấn đề di chuyển,Ghi chú lâm sàng,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Thỏ,"Giữ thỏ ấm áp, yên tĩnh; tránh cầm nắm quá nhiều; tham khảo ý kiến bác sĩ thú y chuyên về động vật ngoại lai ngay lập tức."
Chó con có đỏ và kích ứng ở các nếp da.,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,Ngăn chó liếm; làm sạch bằng chất khử trùng nhẹ; tham khảo bác sĩ thú y nếu tình trạng xấu đi.
Tụ máu tai chó được dẫn lưu nhưng tái phát ngay.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
"Mèo nôn mửa, sau đó tiêu chảy, giờ chỉ trốn tránh.",Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Mèo nôn ngay sau khi uống nước.,Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chó xuất hiện các mảng hói trên mặt và chân.,Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
"Chất lượng lông kém, bong vảy quá mức (seborrhea sicca); đánh giá chế độ ăn, kiểm tra tuyến giáp.",Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Chó của tôi có rìa tai bong vảy và rụng lông, rất ngứa.",Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
"Nách chó sẫm màu, dày lên và ngứa.",Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,Ngăn chó liếm; làm sạch bằng chất khử trùng nhẹ; tham khảo bác sĩ thú y nếu tình trạng xấu đi.
"Cấy vi khuẩn phát hiện Staphylococcus pseudintermedius, nhạy với clindamycin.",Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Loại trừ ngộ độc (thực vật, hóa chất, thuốc).",Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Tìm thấy con giun dẹp, trắng, dài trong phân tươi của chó.",Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
"Cung cấp thức ăn chăm sóc đặc biệt (Oxbow Critical Care), dịch truyền dưới da, thuốc giảm đau (meloxicam), thuốc tăng nhu động (cisapride) cho thỏ bị ứ trệ đường tiêu hóa.",Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Thỏ,"Giữ thỏ ấm áp, yên tĩnh; tránh cầm nắm quá nhiều; tham khảo ý kiến bác sĩ thú y chuyên về động vật ngoại lai ngay lập tức."
Mèo có móng chân bị viêm.,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chó con bị đau bụng sau khi đi xe hơi.,Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu triệu chứng kéo dài.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Chó của tôi có nếp da quanh mõm dày lên và có mùi hôi.,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,Ngăn chó liếm; làm sạch bằng chất khử trùng nhẹ; tham khảo bác sĩ thú y nếu tình trạng xấu đi.
Khuyên dùng thuốc phòng giun tim hàng tháng quanh năm.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Yếm thỏ luôn ướt và da bên dưới đỏ.,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Thỏ,"Giữ thỏ ấm áp, yên tĩnh; tránh cầm nắm quá nhiều; tham khảo ý kiến bác sĩ thú y chuyên về động vật ngoại lai ngay lập tức."
Chó con bị tiêu chảy sau khi chuyển đổi thức ăn quá nhanh.,Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu triệu chứng kéo dài.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Chó của tôi bị nhiễm trùng da do vết cắn của bọ chét.,Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Rụng lông do pha loãng màu ở chó Doberman xanh; kiểm soát nhiễm trùng da thứ phát.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Vẹt của tôi uể oải và có phân bất thường.,Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Đánh giá lại hiệu quả và điều chỉnh liều thuốc giảm đau tại mỗi lần tái khám.,Vấn đề di chuyển,Ghi chú lâm sàng,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Kê đơn ronidazole cho nghi ngờ nhiễm Tritrichomonas foetus ở mèo.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Thính giác của mèo dường như suy giảm.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Chồn có nướu nhợt nhạt, có thể do thiếu máu vì bọ chét.",Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Mèo nôn 5 lần trong vài giờ qua.,Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Điều trị demodicosis toàn thân bằng isoxazoline hoặc giao thức ivermectin/moxidectin liều cao.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Ống tai có vẻ hẹp và sưng kín.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Mèo nôn ra thứ trông giống giun tròn.,Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Mèo bị tổn thương dây thần kinh ảnh hưởng đến chân.,Vấn đề di chuyển,Quan sát của chủ nuôi,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Liệu pháp duy trì dài hạn với chất làm sạch/thuốc tai hàng tuần có thể cần thiết.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Điểm phân: 6/7 (mềm, không định hình).",Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Khuyên dùng probiotics (FortiFlora) để hỗ trợ sức khỏe đường ruột.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Cạo da dương tính với ve Sarcoptes scabiei; đã thảo luận về khả năng lây sang người.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chồn có mảnh vụn sáp màu đen trong tai.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Loại trừ các nguyên nhân ký sinh trùng (Demodex, Sarcoptes, Cheyletiella) bằng xét nghiệm phù hợp.",Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Nghi ngờ rối loạn vận động; cân nhắc thử nghiệm với cisapride.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chồn nghiêng đầu.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chọc dịch tủy sống (CSF) được thực hiện; đang chờ phân tích.,Vấn đề di chuyển,Ghi chú lâm sàng,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Da chó có mùi hôi khó chịu.,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,Ngăn chó liếm; làm sạch bằng chất khử trùng nhẹ; tham khảo bác sĩ thú y nếu tình trạng xấu đi.
Chó có nước đọng trong tai sau khi tắm.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Knemidokoptes pilae (ve mặt/chân có vảy) được chẩn đoán ở chim yến phụng. Điều trị bằng ivermectin bôi hoặc tiêm.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Sử dụng opioid giảm đau (methadone) cho đau bụng nghiêm trọng.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Bong vảy khô (seborrhea sicca) lan rộng trên thân; đánh giá chế độ ăn, chức năng tuyến giáp, khả năng dị ứng.",Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Nghe bụng giảm âm ruột; gợi ý liệt ruột.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"X-quang cho thấy tổn thương xương hỗn hợp tiêu hủy/tăng sinh ở xương cánh tay gần. Các chẩn đoán phân biệt bao gồm u xương nguyên phát (OSA), tình trạng di căn, hoặc viêm xương do nấm.",Vấn đề di chuyển,Ghi chú lâm sàng,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Vết trầy trên đuôi; loại trừ quá mẫn với bọ chét.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
"Mèo con không đáp ứng với thuốc tẩy giun ban đầu, nghi ngờ chủng kháng hoặc ký sinh trùng khác.",Ký sinh trùng,Quan sát của chủ nuôi,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Cytauxzoon felis được xác định trên phiến máu; tiên lượng xấu.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Bảng xét nghiệm bệnh do ve (ví dụ: 4Dx Snap test) dương tính với Ehrlichia/Anaplasma/Lyme.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Viêm da tế bào plasma ở chân ('chân gối') ở mèo; cân nhắc thử nghiệm doxycycline.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Loại bỏ ve Ixodes scapularis; khuyên theo dõi các dấu hiệu của bệnh Lyme.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh khay phân và lên lịch tẩy giun với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chó của tôi ngứa dai dẳng dù đã điều trị bọ chét.,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,Ngăn chó liếm; làm sạch bằng chất khử trùng nhẹ; tham khảo bác sĩ thú y nếu tình trạng xấu đi.
Thỏ cào mạnh ở gốc tai.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Thỏ,"Giữ thỏ ấm áp, yên tĩnh; tránh cầm nắm quá nhiều; tham khảo ý kiến bác sĩ thú y chuyên về động vật ngoại lai ngay lập tức."
Mèo bị rụng lông quanh tai ngoài do cào.,Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Theo dõi trọng lượng cơ thể và điểm trạng thái cơ thể.,Rối loạn tiêu hóa,Ghi chú lâm sàng,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu nôn mửa kéo dài.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chuột lang có vết loét ở lòng bàn chân (bumblefoot).,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chuột lang,"Giữ chuột lang ở khu vực mát mẻ, sạch sẽ; khuyến khích uống nước; liên hệ bác sĩ thú y nếu không cải thiện."
Điều trị nhiễm trùng da thứ phát trước khi tiến hành xét nghiệm dị ứng.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
Chuột lang có mảng vảy quanh mắt.,Kích ứng da,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chuột lang,"Giữ chuột lang ở khu vực mát mẻ, sạch sẽ; khuyến khích uống nước; liên hệ bác sĩ thú y nếu không cải thiện."
"Chó của tôi ăn thức ăn thừa nhiều dầu mỡ, giờ bị đau bụng và nôn mửa.",Rối loạn tiêu hóa,Quan sát của chủ nuôi,"Ngừng cho ăn trong 12 giờ, cung cấp nước từng ngụm nhỏ; đưa đến bác sĩ thú y nếu triệu chứng kéo dài.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
"Tai chó trông nhờn và lông dưới tai bị nhuộm màu, dính.",Nhiễm trùng tai,Quan sát của chủ nuôi,"Giữ mèo bình tĩnh, theo dõi triệu chứng và liên hệ với bác sĩ thú y.",Chó,"Giữ chó bình tĩnh, an toàn; quan sát và liên hệ với bác sĩ thú y."
Nghi ngờ bệnh xương phì đại (HOD); X-quang cho thấy 'đường physeal kép' đặc trưng. Chăm sóc hỗ trợ/quản lý đau.,Vấn đề di chuyển,Ghi chú lâm sàng,"Giữ mèo ở khu vực mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y."
